         45016119 function calls (44749467 primitive calls) in 50.546 seconds

   Ordered by: internal time
   List reduced from 722 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45689    0.233    0.000    0.293    0.000 C:\Users\kladd\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pandas\core\indexes\base.py:5335(__contains__)
   349713    0.232    0.000    0.321    0.000 C:\Users\kladd\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pandas\core\dtypes\generic.py:37(_check)
    84547    0.214    0.000    0.369    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3824.0_x64__qbz5n2kfra8p0\Lib\warnings.py:188(_add_filter)
    10186    0.208    0.000    0.220    0.000 C:\Games\QuarryFlow-Crossing\src\quarryflow\behaviors.py:87(bike_infiltration_score)
    30744    0.207    0.000    6.244    0.000 C:\Users\kladd\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pandas\core\generic.py:6454(dtypes)
    10186    0.206    0.000    0.277    0.000 C:\Games\QuarryFlow-Crossing\src\quarryflow\behaviors.py:175(mean_reaction_time)
    34587    0.204    0.000    0.299    0.000 C:\Users\kladd\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pandas\core\internals\blocks.py:2789(new_block)
55083/47397    0.202    0.000    0.507    0.000 {built-in method numpy.asarray}
    23058    0.189    0.000    0.263    0.000 C:\Users\kladd\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pandas\core\generic.py:6258(__finalize__)
    30744    0.187    0.000    0.545    0.000 C:\Users\kladd\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pandas\core\internals\managers.py:287(get_dtypes)


